cluster_label,year,quarter,num_sales,sentiment_score,rating
2,2010,2,3,4.8,3.6666666666666665
2,2010,3,1,4.1,3.0
2,2010,4,5,4.4,4.4
2,2011,1,10,4.4799999999999995,3.7
2,2011,2,3,4.533333333333334,4.333333333333333
2,2011,3,1,3.5,2.0
2,2011,4,5,4.38,4.0
2,2012,1,1,4.8,5.0
2,2012,2,0,0.0,0.0
2,2012,3,1,4.6,5.0
2,2012,4,11,4.863636363636363,4.545454545454546
2,2013,1,31,4.745161290322581,4.580645161290323
2,2013,2,34,4.45,4.323529411764706
2,2013,3,48,4.377083333333333,4.083333333333333
2,2013,4,42,4.330952380952381,4.357142857142857
2,2014,1,52,4.461538461538462,4.461538461538462
2,2014,2,37,4.27027027027027,4.216216216216216
2,2014,3,69,4.102898550724638,4.072463768115942
2,2014,4,175,4.406285714285715,4.548571428571429
2,2015,1,209,4.325837320574163,4.464114832535885
2,2015,2,151,4.137748344370861,4.291390728476821
2,2015,3,256,4.076953125,4.07421875
2,2015,4,282,4.193971631205674,4.226950354609929
2,2016,1,475,4.239157894736842,4.336842105263158
2,2016,2,494,4.113967611336032,4.1437246963562755
2,2016,3,770,4.112597402597403,4.092207792207792
2,2016,4,795,4.111194968553459,4.10062893081761
2,2017,1,932,4.13068669527897,4.201716738197425
2,2017,2,851,4.061692126909518,4.017626321974148
2,2017,3,847,4.01310507674144,4.034238488783943
2,2017,4,705,3.9913475177304965,4.051063829787234
2,2018,1,776,4.056056701030927,4.055412371134021
2,2018,2,723,4.079253112033196,4.066390041493776
2,2018,3,750,4.041733333333333,3.9026666666666667
2,2018,4,740,4.093783783783784,4.095945945945946
2,2019,1,786,4.160814249363868,4.124681933842239
2,2019,2,782,4.063938618925831,3.965473145780051
2,2019,3,840,3.9955952380952384,3.8476190476190477
2,2019,4,870,4.130919540229885,4.058620689655172
2,2020,1,788,4.201903553299492,4.215736040609137
2,2020,2,457,4.027352297592998,3.798687089715536
2,2020,3,752,4.086303191489362,4.002659574468085
2,2020,4,886,4.245936794582393,4.242663656884876
2,2021,1,693,4.097113997113998,3.9985569985569986
2,2021,2,721,3.9657420249653264,3.782246879334258
2,2021,3,682,3.856451612903226,3.5527859237536656
2,2021,4,436,3.9305045871559634,3.7155963302752295
2,2022,1,388,4.011340206185567,3.731958762886598
2,2022,2,389,3.9655526992287915,3.9074550128534704
2,2022,3,372,3.9620967741935487,3.8413978494623655
2,2022,4,262,4.117938931297711,4.095419847328245
2,2023,1,266,4.065413533834587,4.146616541353383
2,2023,2,78,4.079487179487179,4.243589743589744
2,2023,3,20,4.075,4.55
3,2002,3,0,0.0,0.0
3,2002,4,0,0.0,0.0
3,2003,1,0,0.0,0.0
3,2003,2,0,0.0,0.0
3,2003,3,0,0.0,0.0
3,2003,4,0,0.0,0.0
3,2004,1,0,0.0,0.0
3,2004,2,0,0.0,0.0
3,2004,3,1,2.6,2.0
3,2004,4,1,2.6,3.0
3,2005,1,0,0.0,0.0
3,2005,2,0,0.0,0.0
3,2005,3,1,1.6,4.0
3,2005,4,0,0.0,0.0
3,2006,1,1,4.9,3.0
3,2006,2,2,4.800000000000001,5.0
3,2006,3,0,0.0,0.0
3,2006,4,1,4.7,5.0
3,2007,1,4,3.275,4.0
3,2007,2,0,0.0,0.0
3,2007,3,3,3.6999999999999997,3.3333333333333335
3,2007,4,9,4.6,3.7777777777777777
3,2008,1,2,4.75,4.5
3,2008,2,3,4.466666666666667,3.3333333333333335
3,2008,3,3,4.866666666666667,4.666666666666667
3,2008,4,7,3.985714285714286,3.857142857142857
3,2009,1,10,4.15,4.4
3,2009,2,5,3.54,3.6
3,2009,3,3,3.233333333333333,3.0
3,2009,4,6,4.083333333333333,3.6666666666666665
3,2010,1,11,4.418181818181818,4.090909090909091
3,2010,2,12,4.358333333333333,4.0
3,2010,3,13,4.492307692307692,4.6923076923076925
3,2010,4,10,4.67,4.6
3,2011,1,20,4.105,3.95
3,2011,2,27,4.266666666666667,4.333333333333333
3,2011,3,28,4.5928571428571425,4.142857142857143
3,2011,4,64,4.31875,3.671875
3,2012,1,57,4.482456140350878,3.824561403508772
3,2012,2,41,4.175609756097561,4.0
3,2012,3,29,4.172413793103448,3.586206896551724
3,2012,4,119,4.38655462184874,4.159663865546219
3,2013,1,154,4.296753246753247,4.116883116883117
3,2013,2,124,4.238709677419355,4.040322580645161
3,2013,3,129,4.221705426356589,4.077519379844961
3,2013,4,186,4.1499999999999995,3.693548387096774
3,2014,1,198,4.140909090909091,3.7777777777777777
3,2014,2,122,4.288524590163934,4.155737704918033
3,2014,3,222,4.088738738738739,4.036036036036036
3,2014,4,408,3.9524509803921566,3.7622549019607843
3,2015,1,528,4.025568181818182,4.035984848484849
3,2015,2,366,4.130054644808743,4.284153005464481
3,2015,3,423,4.089125295508274,4.191489361702128
3,2015,4,405,4.0545679012345675,3.9703703703703703
3,2016,1,582,4.08384879725086,4.070446735395189
3,2016,2,460,4.0691304347826085,4.102173913043479
3,2016,3,604,4.061423841059603,4.074503311258278
3,2016,4,598,3.9448160535117056,4.001672240802676
3,2017,1,672,4.057291666666667,4.135416666666667
3,2017,2,548,3.9567518248175184,3.9507299270072993
3,2017,3,523,4.052772466539197,4.095602294455067
3,2017,4,452,4.058628318584071,4.117256637168142
3,2018,1,538,4.024349442379182,4.08364312267658
3,2018,2,532,4.091541353383458,4.167293233082707
3,2018,3,489,4.062372188139059,4.102249488752556
3,2018,4,487,4.056262833675565,4.024640657084189
3,2019,1,567,3.908818342151676,3.7936507936507935
3,2019,2,545,3.9093577981651375,3.9412844036697248
3,2019,3,607,3.9993410214168037,4.079077429983526
3,2019,4,747,4.081124497991968,4.145917001338688
3,2020,1,846,4.082978723404255,4.134751773049645
3,2020,2,348,3.9770114942528734,3.8275862068965516
3,2020,3,472,4.004449152542373,4.00635593220339
3,2020,4,561,4.03030303030303,4.10873440285205
3,2021,1,537,4.058845437616387,4.1303538175046555
3,2021,2,468,4.077136752136752,4.064102564102564
3,2021,3,422,4.071327014218009,4.104265402843602
3,2021,4,288,4.084027777777778,4.017361111111111
3,2022,1,296,3.9010135135135138,3.9966216216216215
3,2022,2,204,3.997549019607843,4.083333333333333
3,2022,3,231,3.983116883116883,3.982683982683983
3,2022,4,186,4.061290322580645,4.139784946236559
3,2023,1,169,4.045562130177515,4.023668639053255
3,2023,2,52,4.0115384615384615,4.365384615384615
3,2023,3,13,4.084615384615384,4.615384615384615
4,2002,3,0,0.0,0.0
4,2002,4,0,0.0,0.0
4,2003,1,0,0.0,0.0
4,2003,2,0,0.0,0.0
4,2003,3,0,0.0,0.0
4,2003,4,0,0.0,0.0
4,2004,1,0,0.0,0.0
4,2004,2,0,0.0,0.0
4,2004,3,0,0.0,0.0
4,2004,4,0,0.0,0.0
4,2005,1,0,0.0,0.0
4,2005,2,0,0.0,0.0
4,2005,3,0,0.0,0.0
